ResrvationID,ClientID,ItemID,ReservationDate,Status
2111784588,878829203004,7379837747829,2025-02-04,reserved
6446865048,487380045830,1284692298812,2024-08-21,fulfilled
8045893816,065543315395,3564899850777,2024-06-29,fulfilled
2905552374,908358000255,4875188703725,2024-09-08,fulfilled
3018925238,670019806533,7874396726444,2025-04-15,reserved
8603777768,368798545706,1381739193627,2024-05-28,fulfilled
3547010088,616208160855,5097223641105,2024-07-29,fulfilled
4631097609,158774376402,5960938875759,2025-03-22,reserved
7048160494,878829203004,3275911741860,2024-05-23,fulfilled
5060068241,935868384284,4611198357946,2025-02-04,reserved
1744522698,702703408825,3898554511371,2024-10-08,fulfilled
5400983635,913899456057,3357246738497,2024-06-18,fulfilled
7816824234,779102014641,3847819619194,2024-05-25,fulfilled
8160904287,588022882666,9929285038371,2024-12-01,reserved
7177989546,106325369465,6365842668358,2024-08-16,fulfilled
